timestamp,bucket_values
2023-04-01T09:31:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.003, 0.005, 0.008, 0.01, 0.016, 0.027, 0.033, 0.055, 0.152, 0.274, 0.299, 0.088, 0.017, 0.006, 0.002, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-04-03T09:11:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.003, 0.006, 0.009, 0.012, 0.018, 0.034, 0.046, 0.096, 0.223, 0.228, 0.173, 0.091, 0.043, 0.011, 0.004, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-04-04T09:11:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.005, 0.005, 0.006, 0.007, 0.018, 0.031, 0.051, 0.117, 0.173, 0.182, 0.18, 0.139, 0.055, 0.019, 0.007, 0.001, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-04-05T09:25:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.003, 0.003, 0.006, 0.011, 0.017, 0.025, 0.064, 0.178, 0.287, 0.258, 0.101, 0.029, 0.009, 0.004, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-04-06T08:39:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.002, 0.002, 0.003, 0.005, 0.009, 0.021, 0.043, 0.074, 0.144, 0.245, 0.227, 0.159, 0.047, 0.011, 0.005, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-04-07T07:59:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.003, 0.002, 0.005, 0.017, 0.042, 0.052, 0.089, 0.183, 0.185, 0.184, 0.141, 0.062, 0.021, 0.008, 0.003, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-04-08T09:35:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.003, 0.002, 0.005, 0.009, 0.014, 0.027, 0.042, 0.111, 0.25, 0.271, 0.18, 0.055, 0.018, 0.007, 0.003, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
