timestamp,full_sleep_breathing_rate,full_sleep_standard_deviation,full_sleep_signal_to_noise,deep_sleep_breathing_rate,deep_sleep_standard_deviation,deep_sleep_signal_to_noise,light_sleep_breathing_rate,light_sleep_standard_deviation,light_sleep_signal_to_noise,rem_sleep_breathing_rate,rem_sleep_standard_deviation,rem_sleep_signal_to_noise
2023-04-01T09:31:00,14.6,0.8,12.266,14.6,0.8,12.266,13.8,1.8,8.603,13.6,1.1,4.322
2023-04-03T09:11:30,15.6,1.0,8.104,15.6,1.0,8.104,14.4,1.8,13.178,14.8,1.8,4.981
2023-04-04T09:11:30,15.6,1.3,13.73,15.6,1.3,13.73,14.0,1.2,14.653,14.6,1.7,6.045
2023-04-05T09:25:00,14.6,1.4,17.036,14.6,1.4,17.036,13.8,1.9,12.457,14.4,1.9,3.7
2023-04-06T08:39:00,14.8,0.9,10.656,14.8,0.9,10.656,14.2,1.3,12.908,13.8,0.9,6.375
2023-04-07T07:59:30,15.8,1.2,11.934,15.8,1.2,11.934,14.6,1.4,11.961,15.4,1.6,3.741
2023-04-08T09:35:00,15.4,1.2,12.712,15.4,1.2,12.712,14.6,0.9,11.58,-1.0,0.0,2.456
